ID,nom,fonction,annees,statut,parent,public,similaire-a,wikidata,comptoir-du-libre,licence,secteur,composant,contexte-usage,groupe,version
68,Roundcube,Webmail,2018,FR,,,171,Q1769269,112,GPL-3.0,Espace utilisateur et canal,Messagerie agenda contacts,,MIMO,
69,Junit,Outil de gestion des tests unitaires,2018 ; 2019 ; 2020,R,,,,Q847675,183,,Conception & Développement,Test & Intégration,,MIMDEV,5.3
70,K-9 Mail,Client de messagerie,2019 ; 2020,O,,,,Q14565723,,Apache-2.0,Espace utilisateur et canal,Messagerie agenda contacts,Client de Messagerie,MIMO,5.600
71,KeeFox,Pour utiliser ses codes,2018 ; 2019 ; 2020,O,Firefox,,,Q61694243,293,GPL V2.0,Espace utilisateur et canal,Navigateur web,Pour utiliser ses codes,MIMO,2.5
72,KeePass,Gestion de mots de passe,2018 ; 2019 ; 2020,R,,,,Q762660,50,GPL-2.0-only,Sécurité,Authentification,,MIMO,2.4
73,Keycloak,IAM,2019 ; 2020,R,,,,Q42916195,301,,Sécurité,Authentification,Serveur Bureautique,MIMPROD,8.0.1
74,Kibana,Gestion des logs en mode centralisé,2018 ; 2019 ; 2020,R,,,,Q21156460,202,Apache-2.0,Sécurité,Gestion des logs,Serveur Bureautique,MIMPROD,6.x
75,Kubernetes,Orchestration,2018 ; 2019 ; 2020,R,,,,Q22661306,219,,Opérations,Outils système & virtualisation,Conteneurs,MIMPROD,Distribution
76,KVM,Hyperviseur,2018 ; 2019 ; 2020,R,,,,Q377539,220,,Logiciel Système et Virtualisation,Virtualisation serveur et jusqu'à plateforme,Virtualisation serveurs,MIMPROD,Distribution
77,LemonLDAP::NG,SSO,2018 ; 2019 ; 2020,R,,,,Q3229380,101,,Sécurité,Authentification,Version 2.0.7 utilisée à la Gendarmerie nationale,MIMPROD,2.0.x
78,LibreOffice,Suite bureautique,2018 ; 2019 ; 2020,R,,,,Q10135,33,MPL-2.0,Espace utilisateur et canal,Consultation et édition de documents,Version MIMO 6.1.6.3_M15 téléchargeable sur ftp://eoleng.ac-dijon.fr/Archive-Mimo/mimo-dev/Libo616_Mimo/,MIMO,
79,LibreOffice (Collabora) online,Rédaction collaborative,2019 ; 2020,R,,,,Q30584920,294,MPL-2.0,Orchestration et logique métier,Outil collaboratif,,MIMO,4.0.10
80,Limesurvey,Enquête,2019 ; 2020,O,,,,Q1514978,42,,Orchestration et logique métier,Outil collaboratif,,MIMO,
